sample	cancer	batch	proteomics	gender	age
TCGA.A2.A0T2	BRCA	TCGA_BRCA	TMT	FEMALE	66
TCGA.A2.A0CM	BRCA	TCGA_BRCA	TMT	FEMALE	40
TCGA.BH.A18V	BRCA	TCGA_BRCA	TMT	FEMALE	48
TCGA.BH.A18Q	BRCA	TCGA_BRCA	TMT	FEMALE	56
TCGA.BH.A0E0	BRCA	TCGA_BRCA	TMT	FEMALE	38
TCGA.A7.A0CE	BRCA	TCGA_BRCA	TMT	FEMALE	57
TCGA.D8.A142	BRCA	TCGA_BRCA	TMT	FEMALE	74
TCGA.A2.A0D0	BRCA	TCGA_BRCA	TMT	FEMALE	60
TCGA.AO.A0J6	BRCA	TCGA_BRCA	TMT	FEMALE	61
TCGA.A2.A0YM	BRCA	TCGA_BRCA	TMT	FEMALE	67
TCGA.A2.A0D2	BRCA	TCGA_BRCA	TMT	FEMALE	45
TCGA.A2.A0SX	BRCA	TCGA_BRCA	TMT	FEMALE	48
TCGA.AO.A0JL	BRCA	TCGA_BRCA	TMT	FEMALE	59
TCGA.AO.A12F	BRCA	TCGA_BRCA	TMT	FEMALE	36
TCGA.AN.A0AL	BRCA	TCGA_BRCA	TMT	FEMALE	41
TCGA.AN.A0FL	BRCA	TCGA_BRCA	TMT	FEMALE	62
TCGA.AR.A0U4	BRCA	TCGA_BRCA	TMT	FEMALE	54
TCGA.AR.A1AQ	BRCA	TCGA_BRCA	TMT	FEMALE	49
TCGA.BH.A0AV	BRCA	TCGA_BRCA	TMT	FEMALE	52
TCGA.C8.A12V	BRCA	TCGA_BRCA	TMT	FEMALE	55
TCGA.C8.A131	BRCA	TCGA_BRCA	TMT	FEMALE	82
TCGA.C8.A134	BRCA	TCGA_BRCA	TMT	FEMALE	52
TCGA.E2.A150	BRCA	TCGA_BRCA	TMT	FEMALE	48
TCGA.E2.A158	BRCA	TCGA_BRCA	TMT	FEMALE	43
TCGA.E2.A159	BRCA	TCGA_BRCA	TMT	FEMALE	50
TCGA.BH.A18R	BRCA	TCGA_BRCA	TMT	FEMALE	50
TCGA.A2.A0T1	BRCA	TCGA_BRCA	TMT	FEMALE	55
TCGA.BH.A0EE	BRCA	TCGA_BRCA	TMT	FEMALE	68
TCGA.A2.A0D1	BRCA	TCGA_BRCA	TMT	FEMALE	76
TCGA.AO.A12D	BRCA	TCGA_BRCA	TMT	FEMALE	43
TCGA.AO.A0JE	BRCA	TCGA_BRCA	TMT	FEMALE	53
TCGA.A2.A0EQ	BRCA	TCGA_BRCA	TMT	FEMALE	64
TCGA.A8.A076	BRCA	TCGA_BRCA	TMT	FEMALE	66
TCGA.A8.A09G	BRCA	TCGA_BRCA	TMT	FEMALE	79
TCGA.AR.A0TX	BRCA	TCGA_BRCA	TMT	FEMALE	64
TCGA.C8.A12L	BRCA	TCGA_BRCA	TMT	FEMALE	67
TCGA.C8.A12P	BRCA	TCGA_BRCA	TMT	FEMALE	55
TCGA.C8.A12Q	BRCA	TCGA_BRCA	TMT	FEMALE	78
TCGA.C8.A12T	BRCA	TCGA_BRCA	TMT	FEMALE	43
TCGA.C8.A12Z	BRCA	TCGA_BRCA	TMT	FEMALE	45
TCGA.C8.A130	BRCA	TCGA_BRCA	TMT	FEMALE	52
TCGA.C8.A135	BRCA	TCGA_BRCA	TMT	FEMALE	64
TCGA.C8.A138	BRCA	TCGA_BRCA	TMT	FEMALE	54
TCGA.AR.A0TR	BRCA	TCGA_BRCA	TMT	FEMALE	68
TCGA.BH.A18N	BRCA	TCGA_BRCA	TMT	FEMALE	88
TCGA.BH.A0HK	BRCA	TCGA_BRCA	TMT	FEMALE	81
TCGA.A7.A0CD	BRCA	TCGA_BRCA	TMT	FEMALE	66
TCGA.BH.A0HP	BRCA	TCGA_BRCA	TMT	FEMALE	65
TCGA.A2.A0YI	BRCA	TCGA_BRCA	TMT	FEMALE	62
TCGA.A2.A0YL	BRCA	TCGA_BRCA	TMT	FEMALE	48
TCGA.A2.A0YF	BRCA	TCGA_BRCA	TMT	FEMALE	67
TCGA.BH.A0E1	BRCA	TCGA_BRCA	TMT	FEMALE	52
TCGA.A2.A0T6	BRCA	TCGA_BRCA	TMT	FEMALE	50
TCGA.A2.A0T7	BRCA	TCGA_BRCA	TMT	FEMALE	51
TCGA.A2.A0YD	BRCA	TCGA_BRCA	TMT	FEMALE	63
TCGA.A2.A0EV	BRCA	TCGA_BRCA	TMT	FEMALE	80
TCGA.A2.A0YC	BRCA	TCGA_BRCA	TMT	FEMALE	59
TCGA.AO.A0J9	BRCA	TCGA_BRCA	TMT	FEMALE	61
TCGA.BH.A0BV	BRCA	TCGA_BRCA	TMT	FEMALE	78
TCGA.AO.A12E	BRCA	TCGA_BRCA	TMT	FEMALE	51
TCGA.AO.A126	BRCA	TCGA_BRCA	TMT	FEMALE	39
TCGA.A2.A0EX	BRCA	TCGA_BRCA	TMT	FEMALE	46
TCGA.AO.A0JJ	BRCA	TCGA_BRCA	TMT	FEMALE	54
TCGA.A8.A08Z	BRCA	TCGA_BRCA	TMT	FEMALE	76
TCGA.AN.A04A	BRCA	TCGA_BRCA	TMT	FEMALE	36
TCGA.AR.A1AP	BRCA	TCGA_BRCA	TMT	FEMALE	80
TCGA.AR.A1AS	BRCA	TCGA_BRCA	TMT	FEMALE	54
TCGA.AR.A1AW	BRCA	TCGA_BRCA	TMT	FEMALE	65
TCGA.BH.A0C1	BRCA	TCGA_BRCA	TMT	FEMALE	61
TCGA.BH.A0DG	BRCA	TCGA_BRCA	TMT	FEMALE	30
TCGA.BH.A0E9	BRCA	TCGA_BRCA	TMT	FEMALE	53
TCGA.E2.A154	BRCA	TCGA_BRCA	TMT	FEMALE	68
TCGA.AO.A03O	BRCA	TCGA_BRCA	TMT	FEMALE	69
TCGA.A2.A0SW	BRCA	TCGA_BRCA	TMT	FEMALE	82
TCGA.BH.A18U	BRCA	TCGA_BRCA	TMT	FEMALE	72
TCGA.AR.A0TY	BRCA	TCGA_BRCA	TMT	FEMALE	54
TCGA.D8.A13Y	BRCA	TCGA_BRCA	TMT	FEMALE	52
TCGA.A7.A13F	BRCA	TCGA_BRCA	TMT	FEMALE	44
TCGA.A7.A0CJ	BRCA	TCGA_BRCA	TMT	FEMALE	57
TCGA.A2.A0T3	BRCA	TCGA_BRCA	TMT	FEMALE	37
TCGA.A2.A0YG	BRCA	TCGA_BRCA	TMT	FEMALE	63
TCGA.A2.A0EY	BRCA	TCGA_BRCA	TMT	FEMALE	62
TCGA.E2.A10A	BRCA	TCGA_BRCA	TMT	FEMALE	41
TCGA.BH.A0C0	BRCA	TCGA_BRCA	TMT	FEMALE	62
TCGA.AO.A0JC	BRCA	TCGA_BRCA	TMT	FEMALE	64
TCGA.AO.A0JM	BRCA	TCGA_BRCA	TMT	FEMALE	40
TCGA.AO.A12B	BRCA	TCGA_BRCA	TMT	FEMALE	63
TCGA.A8.A06N	BRCA	TCGA_BRCA	TMT	FEMALE	66
TCGA.A8.A06Z	BRCA	TCGA_BRCA	TMT	FEMALE	84
TCGA.A8.A079	BRCA	TCGA_BRCA	TMT	FEMALE	69
TCGA.A8.A08G	BRCA	TCGA_BRCA	TMT	FEMALE	41
TCGA.A8.A09I	BRCA	TCGA_BRCA	TMT	FEMALE	84
TCGA.AN.A0AJ	BRCA	TCGA_BRCA	TMT	FEMALE	79
TCGA.AN.A0AM	BRCA	TCGA_BRCA	TMT	FEMALE	56
TCGA.AN.A0AS	BRCA	TCGA_BRCA	TMT	FEMALE	70
TCGA.AN.A0FK	BRCA	TCGA_BRCA	TMT	FEMALE	88
TCGA.AR.A0TT	BRCA	TCGA_BRCA	TMT	FEMALE	53
TCGA.AR.A0TV	BRCA	TCGA_BRCA	TMT	FEMALE	66
TCGA.AR.A1AV	BRCA	TCGA_BRCA	TMT	MALE	68
TCGA.BH.A0BZ	BRCA	TCGA_BRCA	TMT	FEMALE	59
